"","time","A1","A2","A3","A4","A5","A6","F1","F2","F3","F4","F5","F6","L2","L3","L5","L6","L8","L9","blank"
"31",7.5,0.30545,0.305475,0.305175,0.304225,0.309,0.312475,0.2985,0.3009,0.303975,0.298175,0.3036,0.29995,0.30235,0.297475,0.30025,0.297575,0.294025,0.2931,0.08765
"32",7.75,0.307325,0.30825,0.3068,0.307525,0.312425,0.31475,0.29995,0.30355,0.30555,0.301025,0.305775,0.301925,0.302925,0.29975,0.30175,0.29935,0.295925,0.296575,0.0876791666666667
"33",8,0.309,0.309275,0.31,0.3097,0.3144,0.317775,0.301175,0.304675,0.307625,0.302325,0.307825,0.303625,0.304625,0.30155,0.303625,0.301025,0.297225,0.298575,0.0876125
"34",8.25,0.31125,0.3108,0.310775,0.3117,0.317075,0.31975,0.30165,0.305525,0.30875,0.303275,0.3097,0.304975,0.3054,0.302475,0.3058,0.302175,0.298575,0.298825,0.0875416666666667
"35",8.5,0.313325,0.31275,0.31325,0.31345,0.31865,0.32065,0.301875,0.3067,0.31,0.30385,0.310575,0.30635,0.305775,0.30285,0.30725,0.30405,0.299475,0.3002,0.0876125
"36",8.75,0.314575,0.314325,0.313425,0.313675,0.32105,0.322425,0.302,0.30655,0.31135,0.30515,0.3104,0.307425,0.305475,0.304075,0.3063,0.304425,0.3002,0.29985,0.0876583333333333
"37",9,0.314675,0.31425,0.315075,0.3154,0.321325,0.32465,0.302225,0.3068,0.311275,0.30475,0.312025,0.308075,0.3051,0.303675,0.306825,0.304125,0.30055,0.301025,0.0874708333333333
"38",9.25,0.31485,0.3149,0.315825,0.315675,0.322975,0.325475,0.30195,0.306875,0.310675,0.30495,0.311525,0.307625,0.305775,0.303325,0.306,0.304475,0.30185,0.3012,0.0876041666666667
"39",9.5,0.3149,0.315,0.316575,0.317825,0.32365,0.32645,0.30235,0.306525,0.311,0.304925,0.311,0.30765,0.304925,0.30335,0.30725,0.304375,0.300875,0.30345,0.0874958333333333
"40",9.75,0.315525,0.3165,0.317025,0.317825,0.3257,0.3263,0.30115,0.30575,0.3103,0.304475,0.31065,0.308675,0.30565,0.30375,0.30575,0.30445,0.301425,0.303275,0.087625
"41",10,0.3156,0.3174,0.3165,0.317075,0.324875,0.327325,0.300775,0.305325,0.310275,0.304675,0.31035,0.30805,0.3042,0.302875,0.306075,0.30335,0.3006,0.303775,0.0875125
"42",10.25,0.31525,0.316375,0.3171,0.317525,0.32475,0.326075,0.300375,0.30515,0.30965,0.304625,0.310475,0.307375,0.303875,0.3031,0.304975,0.304275,0.300325,0.30285,0.0875291666666667
"43",10.5,0.3152,0.316975,0.3184,0.31975,0.325625,0.32635,0.300325,0.304425,0.30955,0.303375,0.309975,0.307575,0.3028,0.302175,0.3052,0.302925,0.299875,0.30335,0.087525
"44",10.75,0.3151,0.3166,0.316725,0.3185,0.325925,0.3279,0.299175,0.30475,0.308575,0.30295,0.308825,0.306575,0.302725,0.301575,0.304675,0.301875,0.29915,0.30215,0.0876125
"45",11,0.315325,0.316025,0.31755,0.319425,0.326425,0.32655,0.29955,0.303925,0.3088,0.30235,0.308675,0.306325,0.3021,0.301125,0.303175,0.3013,0.298925,0.30205,0.087575
"46",11.25,0.31475,0.3164,0.317525,0.319625,0.326925,0.327725,0.29825,0.302625,0.30845,0.301775,0.30795,0.305775,0.30135,0.3,0.303,0.300425,0.29865,0.30365,0.0875583333333333
"47",11.5,0.314425,0.316525,0.31855,0.319175,0.32685,0.32665,0.297975,0.30235,0.307175,0.30105,0.307475,0.305275,0.301225,0.30005,0.30215,0.299825,0.29855,0.302375,0.0874583333333333
"48",11.75,0.315175,0.316725,0.318575,0.318825,0.32665,0.326275,0.2971,0.30185,0.306775,0.30025,0.3068,0.305025,0.301425,0.2996,0.301675,0.299675,0.2978,0.302,0.0875791666666667
"49",12,0.3138,0.3162,0.31845,0.320075,0.3268,0.32735,0.29675,0.30115,0.3056,0.299475,0.306075,0.30495,0.299,0.2989,0.300575,0.299425,0.2968,0.3029,0.087525
