ID;time;strain;OD
1212;15.75;L5;0.291675
1213;15.75;L6;0.288975
1214;15.75;L8;0.28755
1215;15.75;L9;0.295775
1216;15.75;blank;0.0874875
1217;16;A1;0.308175
1218;16;A2;0.3127
1219;16;A3;0.314275
1220;16;A4;0.3161
1221;16;A5;0.323875
1222;16;A6;0.3245
1223;16;F1;0.286775
1224;16;F2;0.291525
1225;16;F3;0.294825
1226;16;F4;0.289225
1227;16;F5;0.2959
1228;16;F6;0.296425
1229;16;L2;0.289575
1230;16;L3;0.28865
1231;16;L5;0.29045
1232;16;L6;0.28875
1233;16;L8;0.2869
1234;16;L9;0.295075
1235;16;blank;0.087466667
1236;16.25;A1;0.3072
1237;16.25;A2;0.312225
1238;16.25;A3;0.31325
1239;16.25;A4;0.31585
1240;16.25;A5;0.3242
1241;16.25;A6;0.323675
1242;16.25;F1;0.2862
1243;16.25;F2;0.290325
1244;16.25;F3;0.29435
1245;16.25;F4;0.2885
1246;16.25;F5;0.295275
1247;16.25;F6;0.296025
1248;16.25;L2;0.28845
1249;16.25;L3;0.287825
1250;16.25;L5;0.2896
1251;16.25;L6;0.288675
1252;16.25;L8;0.2863
1253;16.25;L9;0.2937
1254;16.25;blank;0.087466667
1255;16.5;A1;0.30715
1256;16.5;A2;0.311025
1257;16.5;A3;0.313125
1258;16.5;A4;0.3155
1259;16.5;A5;0.32385
1260;16.5;A6;0.32325
1261;16.5;F1;0.28525
1262;16.5;F2;0.290625
1263;16.5;F3;0.294275
1264;16.5;F4;0.288225
1265;16.5;F5;0.294975
1266;16.5;F6;0.2953
1267;16.5;L2;0.28825
1268;16.5;L3;0.2871
1269;16.5;L5;0.2888
1270;16.5;L6;0.287975
1271;16.5;L8;0.28595
1272;16.5;L9;0.2944
1273;16.5;blank;0.087608333
1274;16.75;A1;0.307225
1275;16.75;A2;0.31045
1276;16.75;A3;0.312725
1277;16.75;A4;0.31535
1278;16.75;A5;0.32225
1279;16.75;A6;0.323275
1280;16.75;F1;0.284975
1281;16.75;F2;0.289175
1282;16.75;F3;0.2936
1283;16.75;F4;0.287425
1284;16.75;F5;0.29425
1285;16.75;F6;0.295275
1286;16.75;L2;0.287975
1287;16.75;L3;0.2868
1288;16.75;L5;0.288575
1289;16.75;L6;0.287
1290;16.75;L8;0.285175
1291;16.75;L9;0.2949
1292;16.75;blank;0.087466667
1293;17;A1;0.3063
1294;17;A2;0.30945
1295;17;A3;0.3119
1296;17;A4;0.314925
1297;17;A5;0.322125
1298;17;A6;0.32135
1299;17;F1;0.284725
1300;17;F2;0.289225
1301;17;F3;0.292575
1302;17;F4;0.287375
1303;17;F5;0.293725
1304;17;F6;0.294425
1305;17;L2;0.287625
1306;17;L3;0.286625
1307;17;L5;0.287875
1308;17;L6;0.2865
1309;17;L8;0.284875
1310;17;L9;0.292375
1311;17;blank;0.087566667
1312;17.25;A1;0.3055
1313;17.25;A2;0.310075
1314;17.25;A3;0.312725
1315;17.25;A4;0.3142
1316;17.25;A5;0.321675
1317;17.25;A6;0.321475
1318;17.25;F1;0.283725
1319;17.25;F2;0.288125
1320;17.25;F3;0.292425
1321;17.25;F4;0.287025
1322;17.25;F5;0.293225
1323;17.25;F6;0.294175
1324;17.25;L2;0.286125
1325;17.25;L3;0.285575
1326;17.25;L5;0.28715
1327;17.25;L6;0.28615
1328;17.25;L8;0.2841
1329;17.25;L9;0.2931
1330;17.25;blank;0.087458333
1331;17.5;A1;0.30465
1332;17.5;A2;0.3089
1333;17.5;A3;0.311425
1334;17.5;A4;0.313925
1335;17.5;A5;0.32115
1336;17.5;A6;0.320875
1337;17.5;F1;0.283625
1338;17.5;F2;0.28825
1339;17.5;F3;0.2913
1340;17.5;F4;0.287175
1341;17.5;F5;0.292375
1342;17.5;F6;0.2933
1343;17.5;L2;0.286
1344;17.5;L3;0.285
1345;17.5;L5;0.286475
1346;17.5;L6;0.286
1347;17.5;L8;0.283425
1348;17.5;L9;0.2922
1349;17.5;blank;0.08755
1350;17.75;A1;0.30335
1351;17.75;A2;0.30865
1352;17.75;A3;0.3102
1353;17.75;A4;0.313425
1354;17.75;A5;0.32035
1355;17.75;A6;0.3203
1356;17.75;F1;0.282875
1357;17.75;F2;0.287125
1358;17.75;F3;0.29085
1359;17.75;F4;0.2852
1360;17.75;F5;0.292025
1361;17.75;F6;0.29295
1362;17.75;L2;0.285775
1363;17.75;L3;0.284375
1364;17.75;L5;0.2862
1365;17.75;L6;0.284575
1366;17.75;L8;0.282875
1367;17.75;L9;0.292275
1368;17.75;blank;0.087504167
1369;18;A1;0.30285
1370;18;A2;0.3079
1371;18;A3;0.310075
1372;18;A4;0.3127
1373;18;A5;0.32085
1374;18;A6;0.3209
1375;18;F1;0.282275
1376;18;F2;0.28705
1377;18;F3;0.29035
1378;18;F4;0.2853
1379;18;F5;0.291225
1380;18;F6;0.292225
1381;18;L2;0.2858
1382;18;L3;0.283625
1383;18;L5;0.2856
1384;18;L6;0.284625
1385;18;L8;0.28255
1386;18;L9;0.291975
1387;18;blank;0.08755
1388;18.25;A1;0.302425
1389;18.25;A2;0.307475
1390;18.25;A3;0.310375
1391;18.25;A4;0.31185
1392;18.25;A5;0.32085
1393;18.25;A6;0.32005
1394;18.25;F1;0.281575
1395;18.25;F2;0.285975
1396;18.25;F3;0.28975
1397;18.25;F4;0.28425
1398;18.25;F5;0.290425
1399;18.25;F6;0.291625
1400;18.25;L2;0.2849
1401;18.25;L3;0.28385
1402;18.25;L5;0.2851
1403;18.25;L6;0.2842
1404;18.25;L8;0.281675
1405;18.25;L9;0.291825
1406;18.25;blank;0.087795833
1407;18.5;A1;0.301925
1408;18.5;A2;0.3066
1409;18.5;A3;0.30925
1410;18.5;A4;0.31165
1411;18.5;A5;0.3213
1412;18.5;A6;0.320225
1413;18.5;F1;0.2814
1414;18.5;F2;0.2859
1415;18.5;F3;0.289025
1416;18.5;F4;0.283875
1417;18.5;F5;0.290175
1418;18.5;F6;0.29255
1419;18.5;L2;0.2843
1420;18.5;L3;0.28305
1421;18.5;L5;0.2845
1422;18.5;L6;0.2833
1423;18.5;L8;0.280625
1424;18.5;L9;0.29135
1425;18.5;blank;0.0874
1426;18.75;A1;0.3015
1427;18.75;A2;0.306325
1428;18.75;A3;0.3095
1429;18.75;A4;0.3116
1430;18.75;A5;0.32055
1431;18.75;A6;0.3193
1432;18.75;F1;0.280875
1433;18.75;F2;0.285525
1434;18.75;F3;0.2882
1435;18.75;F4;0.282675
1436;18.75;F5;0.2895
1437;18.75;F6;0.2915
1438;18.75;L2;0.283825
1439;18.75;L3;0.2828
1440;18.75;L5;0.284
1441;18.75;L6;0.28255
1442;18.75;L8;0.280575
1443;18.75;L9;0.2895
1444;18.75;blank;0.087579167
1445;19;A1;0.301325
1446;19;A2;0.3059
1447;19;A3;0.3093
1448;19;A4;0.311975
1449;19;A5;0.320125
1450;19;A6;0.31915
1451;19;F1;0.28025
1452;19;F2;0.28425
1453;19;F3;0.288075
1454;19;F4;0.28235
1455;19;F5;0.28885
1456;19;F6;0.2905
1457;19;L2;0.28455
1458;19;L3;0.282225
1459;19;L5;0.283425
1460;19;L6;0.282075
1461;19;L8;0.279525
1462;19;L9;0.29035
1463;19;blank;0.087620833
1464;19.25;A1;0.3005
1465;19.25;A2;0.305275
1466;19.25;A3;0.30895
1467;19.25;A4;0.310975
1468;19.25;A5;0.318625
1469;19.25;A6;0.3186
1470;19.25;F1;0.2795
1471;19.25;F2;0.2843
1472;19.25;F3;0.287475
1473;19.25;F4;0.281925
1474;19.25;F5;0.288325
1475;19.25;F6;0.29
1476;19.25;L2;0.2832
1477;19.25;L3;0.281625
1478;19.25;L5;0.28275
1479;19.25;L6;0.28145
1480;19.25;L8;0.2789
1481;19.25;L9;0.28935
1482;19.25;blank;0.087470833
1483;19.5;A1;0.30015
1484;19.5;A2;0.3052
1485;19.5;A3;0.30865
1486;19.5;A4;0.310825
1487;19.5;A5;0.318225
1488;19.5;A6;0.319175
1489;19.5;F1;0.278875
1490;19.5;F2;0.28355
1491;19.5;F3;0.2868
1492;19.5;F4;0.281325
1493;19.5;F5;0.28745
1494;19.5;F6;0.289925
1495;19.5;L2;0.283025
1496;19.5;L3;0.281125
1497;19.5;L5;0.282325
1498;19.5;L6;0.280825
1499;19.5;L8;0.2784
1500;19.5;L9;0.28895
1501;19.5;blank;0.087383333
1502;19.75;A1;0.299925
1503;19.75;A2;0.3046
1504;19.75;A3;0.30805
1505;19.75;A4;0.309975
1506;19.75;A5;0.3182
1507;19.75;A6;0.31775
1508;19.75;F1;0.27845
1509;19.75;F2;0.2827
1510;19.75;F3;0.2859
1511;19.75;F4;0.28075
1512;19.75;F5;0.287125
1513;19.75;F6;0.289325
1514;19.75;L2;0.282825
1515;19.75;L3;0.280725
1516;19.75;L5;0.281575
1517;19.75;L6;0.28025
1518;19.75;L8;0.277925
1519;19.75;L9;0.2883
1520;19.75;blank;0.087358333
1521;20;A1;0.299125
1522;20;A2;0.304925
1523;20;A3;0.30825
1524;20;A4;0.309925
1525;20;A5;0.31785
1526;20;A6;0.317425
1527;20;F1;0.277925
1528;20;F2;0.282725
1529;20;F3;0.285425
1530;20;F4;0.28
1531;20;F5;0.286575
1532;20;F6;0.288875
1533;20;L2;0.28125
1534;20;L3;0.28045
1535;20;L5;0.281225
1536;20;L6;0.280025
1537;20;L8;0.277675
1538;20;L9;0.287525
1539;20;blank;0.087508333
1540;20.25;A1;0.29975
1541;20.25;A2;0.30405
1542;20.25;A3;0.30745
1543;20.25;A4;0.309525
1544;20.25;A5;0.31675
1545;20.25;A6;0.317675
1546;20.25;F1;0.277675
1547;20.25;F2;0.282075
1548;20.25;F3;0.285125
1549;20.25;F4;0.2803
1550;20.25;F5;0.286025
1551;20.25;F6;0.2886
1552;20.25;L2;0.28275
1553;20.25;L3;0.2801
1554;20.25;L5;0.28085
1555;20.25;L6;0.2794
1556;20.25;L8;0.277
1557;20.25;L9;0.2881
1558;20.25;blank;0.087608333
1559;20.5;A1;0.2985
1560;20.5;A2;0.303525
1561;20.5;A3;0.307225
1562;20.5;A4;0.308675
1563;20.5;A5;0.3164
1564;20.5;A6;0.31655
1565;20.5;F1;0.2769
1566;20.5;F2;0.28205
1567;20.5;F3;0.284675
1568;20.5;F4;0.27915
1569;20.5;F5;0.2854
1570;20.5;F6;0.287625
1571;20.5;L2;0.281175
1572;20.5;L3;0.27915
1573;20.5;L5;0.280125
1574;20.5;L6;0.2786
1575;20.5;L8;0.27645
1576;20.5;L9;0.286
1577;20.5;blank;0.087508333
1578;20.75;A1;0.29815
1579;20.75;A2;0.303425
1580;20.75;A3;0.30685
1581;20.75;A4;0.308325
1582;20.75;A5;0.316325
1583;20.75;A6;0.315925
1584;20.75;F1;0.27625
1585;20.75;F2;0.281275
1586;20.75;F3;0.2847
1587;20.75;F4;0.27845
1588;20.75;F5;0.285125
1589;20.75;F6;0.287275
1590;20.75;L2;0.27975
1591;20.75;L3;0.278625
1592;20.75;L5;0.2799
1593;20.75;L6;0.278125
1594;20.75;L8;0.275775
1595;20.75;L9;0.2857
1596;20.75;blank;0.087404167
1597;21;A1;0.298275
1598;21;A2;0.3028
1599;21;A3;0.30695
1600;21;A4;0.308025
1601;21;A5;0.315725
1602;21;A6;0.315725
1603;21;F1;0.275675
1604;21;F2;0.28105
1605;21;F3;0.2839
1606;21;F4;0.27825
1607;21;F5;0.284575
1608;21;F6;0.286875
1609;21;L2;0.2796
1610;21;L3;0.278575
1611;21;L5;0.27985
1612;21;L6;0.277375
1613;21;L8;0.275475
1614;21;L9;0.28645
1615;21;blank;0.0874125
1616;21.25;A1;0.297875
1617;21.25;A2;0.302725
1618;21.25;A3;0.30595
1619;21.25;A4;0.308225
1620;21.25;A5;0.315475
1621;21.25;A6;0.315325
1622;21.25;F1;0.275125
1623;21.25;F2;0.28065
1624;21.25;F3;0.28325
1625;21.25;F4;0.277625
1626;21.25;F5;0.28415
1627;21.25;F6;0.286425
1628;21.25;L2;0.278425
1629;21.25;L3;0.27795
1630;21.25;L5;0.27885
1631;21.25;L6;0.2774
1632;21.25;L8;0.2749
1633;21.25;L9;0.2838
1634;21.25;blank;0.087433333
1635;21.5;A1;0.296775
1636;21.5;A2;0.3024
1637;21.5;A3;0.30565
1638;21.5;A4;0.307925
1639;21.5;A5;0.315475
1640;21.5;A6;0.3151
1641;21.5;F1;0.27465
1642;21.5;F2;0.280475
1643;21.5;F3;0.282875
1644;21.5;F4;0.277025
1645;21.5;F5;0.2838
1646;21.5;F6;0.285675
1647;21.5;L2;0.27845
1648;21.5;L3;0.277675
1649;21.5;L5;0.27875
1650;21.5;L6;0.276575
1651;21.5;L8;0.274625
1652;21.5;L9;0.284025
1653;21.5;blank;0.087429167
1654;21.75;A1;0.296425
1655;21.75;A2;0.30205
1656;21.75;A3;0.3046
1657;21.75;A4;0.306925
1658;21.75;A5;0.31565
1659;21.75;A6;0.3147
1660;21.75;F1;0.274125
1661;21.75;F2;0.2797
1662;21.75;F3;0.282375
1663;21.75;F4;0.276975
1664;21.75;F5;0.283375
1665;21.75;F6;0.2857
1666;21.75;L2;0.2773
1667;21.75;L3;0.27655
1668;21.75;L5;0.27805
1669;21.75;L6;0.276625
1670;21.75;L8;0.2742
1671;21.75;L9;0.285
1672;21.75;blank;0.087320833
1673;22;A1;0.2965
1674;22;A2;0.301225
1675;22;A3;0.305725
1676;22;A4;0.306725
1677;22;A5;0.3151
1678;22;A6;0.31485
1679;22;F1;0.27375
1680;22;F2;0.279375
1681;22;F3;0.28195
1682;22;F4;0.276175
1683;22;F5;0.2827
1684;22;F6;0.2849
1685;22;L2;0.277425
1686;22;L3;0.276275
1687;22;L5;0.277325
1688;22;L6;0.27545
1689;22;L8;0.2736
1690;22;L9;0.2846
1691;22;blank;0.0874375
1692;22.25;A1;0.296275
1693;22.25;A2;0.30105
1694;22.25;A3;0.305125
1695;22.25;A4;0.3063
1696;22.25;A5;0.314325
1697;22.25;A6;0.314275
1698;22.25;F1;0.273
1699;22.25;F2;0.27915
1700;22.25;F3;0.2818
1701;22.25;F4;0.2768
1702;22.25;F5;0.28265
1703;22.25;F6;0.28445
1704;22.25;L2;0.276675
1705;22.25;L3;0.2756
1706;22.25;L5;0.27705
1707;22.25;L6;0.275175
1708;22.25;L8;0.2732
1709;22.25;L9;0.2832
1710;22.25;blank;0.0872625
1711;22.5;A1;0.295875
1712;22.5;A2;0.300675
1713;22.5;A3;0.304475
1714;22.5;A4;0.3066
1715;22.5;A5;0.3137
1716;22.5;A6;0.313425
1717;22.5;F1;0.273125
1718;22.5;F2;0.277825
1719;22.5;F3;0.280575
1720;22.5;F4;0.2756
1721;22.5;F5;0.281875
1722;22.5;F6;0.284125
1723;22.5;L2;0.27645
1724;22.5;L3;0.2752
1725;22.5;L5;0.276475
1726;22.5;L6;0.274575
1727;22.5;L8;0.272975
1728;22.5;L9;0.2811
1729;22.5;blank;0.08745
1730;22.75;A1;0.2955
1731;22.75;A2;0.30085
1732;22.75;A3;0.30365
1733;22.75;A4;0.305625
1734;22.75;A5;0.313375
1735;22.75;A6;0.313375
1736;22.75;F1;0.27255
1737;22.75;F2;0.2783
1738;22.75;F3;0.281325
1739;22.75;F4;0.275475
1740;22.75;F5;0.282025
1741;22.75;F6;0.2836
1742;22.75;L2;0.2761
1743;22.75;L3;0.274875
1744;22.75;L5;0.275925
1745;22.75;L6;0.274125
1746;22.75;L8;0.27235
1747;22.75;L9;0.28205
1748;22.75;blank;0.0873625
1749;23;A1;0.2949
1750;23;A2;0.299525
1751;23;A3;0.303275
1752;23;A4;0.305825
1753;23;A5;0.3131
1754;23;A6;0.312625
1755;23;F1;0.271675
1756;23;F2;0.2772
1757;23;F3;0.2804
1758;23;F4;0.274975
1759;23;F5;0.28105
1760;23;F6;0.283075
1761;23;L2;0.2752
1762;23;L3;0.27425
1763;23;L5;0.275575
1764;23;L6;0.27415
1765;23;L8;0.272275
1766;23;L9;0.281675
1767;23;blank;0.087708333
1768;23.25;A1;0.2939
1769;23.25;A2;0.2994
1770;23.25;A3;0.303125
1771;23.25;A4;0.3053
1772;23.25;A5;0.312775
1773;23.25;A6;0.3122
1774;23.25;F1;0.2711
1775;23.25;F2;0.2774
1776;23.25;F3;0.280625
1777;23.25;F4;0.2745
1778;23.25;F5;0.280775
1779;23.25;F6;0.282725
1780;23.25;L2;0.27435
1781;23.25;L3;0.273275
1782;23.25;L5;0.275125
1783;23.25;L6;0.274025
1784;23.25;L8;0.271875
1785;23.25;L9;0.282575
1786;23.25;blank;0.087420833
1787;23.5;A1;0.293925
1788;23.5;A2;0.29995
1789;23.5;A3;0.303475
1790;23.5;A4;0.304625
1791;23.5;A5;0.31245
1792;23.5;A6;0.31315
1793;23.5;F1;0.27095
1794;23.5;F2;0.27715
1795;23.5;F3;0.27945
1796;23.5;F4;0.2746
1797;23.5;F5;0.2806
1798;23.5;F6;0.282325
1799;23.5;L2;0.27435
1800;23.5;L3;0.273425
1801;23.5;L5;0.274925
1802;23.5;L6;0.273675
1803;23.5;L8;0.271625
1804;23.5;L9;0.281925
1805;23.5;blank;0.087516667
1806;23.75;A1;0.293525
1807;23.75;A2;0.2986
1808;23.75;A3;0.302025
1809;23.75;A4;0.304325
1810;23.75;A5;0.312
1811;23.75;A6;0.3116
1812;23.75;F1;0.2704
1813;23.75;F2;0.276775
1814;23.75;F3;0.27935
1815;23.75;F4;0.274425
1816;23.75;F5;0.279925
1817;23.75;F6;0.281625
1818;23.75;L2;0.274025
1819;23.75;L3;0.273075
1820;23.75;L5;0.274225
1821;23.75;L6;0.27285
1822;23.75;L8;0.27075
1823;23.75;L9;0.28155
1824;23.75;blank;0.087375
1825;24;A1;0.2934
1826;24;A2;0.2982
1827;24;A3;0.301975
1828;24;A4;0.303825
1829;24;A5;0.312325
1830;24;A6;0.312025
1831;24;F1;0.2698
1832;24;F2;0.27595
1833;24;F3;0.279425
1834;24;F4;0.2734
1835;24;F5;0.28
1836;24;F6;0.281125
1837;24;L2;0.273475
1838;24;L3;0.272825
1839;24;L5;0.274425
1840;24;L6;0.272725
1841;24;L8;0.271025
1842;24;L9;0.28075
1843;24;blank;0.087545833
