Isolate	Colony	Diameter	Replicate	Treatment
1	A1-1	0.9	A1	Ancestral
2	A1-2	0.80	A1	Ancestral
3	A1-3	0.63	A1	Ancestral
4	A2-1	0.60	A2	Ancestral
5	A2-2	0.60	A2	Ancestral
6	A2-3	0.57	A2	Ancestral
7	A3-1	0.73	A3	Ancestral
8	A3-2	0.60	A3	Ancestral
9	A3-3	0.63	A3	Ancestral
10	A4-1	0.80	A4	Ancestral
11	A4-2	0.77	A4	Ancestral
12	A4-3	0.63	A4	Ancestral
13	A5-1	0.73	A5	Ancestral
14	A5-2	0.60	A5	Ancestral
15	A5-3	0.87	A5	Ancestral
16	A6-1	0.77	A6	Ancestral
17	A6-2	0.77	A6	Ancestral
18	A6-3	0.90	A6	Ancestral
19	F1-1	0.97	F1	Flour_passaged
20	F1-2	0.83	F1	Flour_passaged
21	F1-3	1.00	F1	Flour_passaged
22	F2-1	0.87	F2	Flour_passaged
23	F2-2	0.93	F2	Flour_passaged
24	F2-3	0.80	F2	Flour_passaged
25	F3-1	0.73	F3	Flour_passaged
26	F3-2	0.87	F3	Flour_passaged
27	F3-3	0.77	F3	Flour_passaged
28	F4-1	1.07	F4	Flour_passaged
29	F4-2	0.90	F4	Flour_passaged
30	F4-3	0.90	F4	Flour_passaged
31	F5-1	0.93	F5	Flour_passaged
32	F5-2	0.93	F5	Flour_passaged
33	F5-3	0.90	F5	Flour_passaged
34	F6-1	0.57	F6	Flour_passaged
35	F6-2	0.87	F6	Flour_passaged
36	F6-3	0.87	F6	Flour_passaged
37	L2-1	1.03	L2	Larvae_passaged
38	L2-2	1.10	L2	Larvae_passaged
39	L2-3	1.20	L2	Larvae_passaged
40	L3-1	1.23	L3	Larvae_passaged
41	L3-2	0.98	L3	Larvae_passaged
42	L3-3	0.80	L3	Larvae_passaged
43	L5-1	0.87	L5	Larvae_passaged
44	L5-2	0.83	L5	Larvae_passaged
45	L5-3	1.00	L5	Larvae_passaged
46	L6-1	0.97	L6	Larvae_passaged
47	L6-2	0.90	L6	Larvae_passaged
48	L6-3	0.97	L6	Larvae_passaged
49	L8-1	0.97	L8	Larvae_passaged
50	L8-2	1.00	L8	Larvae_passaged
51	L8-3	1.07	L8	Larvae_passaged
52	L9-1	0.80	L9	Larvae_passaged
53	L9-2	0.70	L9	Larvae_passaged
54	L9-3	0.77	L9	Larvae_passaged
