Sample	Plate	Pretreatment	Treatment	Day of Death	Survival	Regime
1884	22	L2	P	14	0	L2P
1885	22	L2	P	14	0	L2P
1886	22	L2	P	14	0	L2P
1887	22	L2	P	14	0	L2P
1888	22	L2	P	14	0	L2P
1889	22	L2	P	14	0	L2P
1890	22	L2	P	14	0	L2P
1891	22	L2	P	14	0	L2P
1892	22	L2	P	14	0	L2P
1893	22	L2	P	14	0	L2P
1894	22	L2	P	14	0	L2P
1895	22	L2	P	14	0	L2P
1896	22	L3	P	1	1	L3P
1897	22	L3	P	14	0	L3P
1898	22	L3	P	14	0	L3P
1899	22	L3	P	14	0	L3P
1900	22	L3	P	14	0	L3P
1901	22	L3	P	14	0	L3P
1902	22	L3	P	14	0	L3P
1903	22	L3	P	14	0	L3P
1904	22	L3	P	14	0	L3P
1905	22	L3	P	14	0	L3P
1906	22	L3	P	14	0	L3P
1907	22	L3	P	14	0	L3P
1908	22	L3	P	14	0	L3P
1909	22	L3	P	14	0	L3P
1910	22	L3	P	14	0	L3P
1911	22	L3	P	14	0	L3P
1912	22	L6	P	1	1	L6P
1913	22	L6	P	3	1	L6P
1914	22	L6	P	5	1	L6P
1915	22	L6	P	7	1	L6P
1916	22	L6	P	14	1	L6P
1917	22	L6	P	14	0	L6P
1918	22	L6	P	14	0	L6P
1919	22	L6	P	14	0	L6P
1920	22	L6	P	14	0	L6P
1921	22	L6	P	14	0	L6P
1922	22	L6	P	14	0	L6P
1923	22	L6	P	14	0	L6P
1924	22	L6	P	14	0	L6P
1925	22	L6	P	14	0	L6P
1926	22	L6	P	14	0	L6P
1927	22	P	P	1	1	PP
1928	22	P	P	4	1	PP
1929	22	P	P	7	1	PP
1930	22	P	P	12	1	PP
1931	22	P	P	14	0	PP
1932	22	P	P	14	0	PP
1933	22	P	P	14	0	PP
1934	22	P	P	14	0	PP
1935	22	P	P	14	0	PP
1936	22	P	P	14	0	PP
1937	22	P	P	14	0	PP
1938	22	P	P	14	0	PP
1939	22	P	P	14	0	PP
1940	22	P	P	14	0	PP
1941	23	K	B	1	1	KB
1942	23	K	B	1	1	KB
1943	23	K	B	1	1	KB
1944	23	K	B	1	1	KB
1945	23	K	B	1	1	KB
1946	23	K	B	1	1	KB
1947	23	K	B	1	1	KB
1948	23	K	B	1	1	KB
1949	23	K	B	1	1	KB
1950	23	K	B	2	1	KB
1951	23	K	B	11	1	KB
1952	23	K	B	11	1	KB
1953	23	K	B	12	1	KB
1954	23	K	B	13	1	KB
1955	23	K	B	13	1	KB
1956	23	K	B	13	1	KB
1957	23	A	B	1	1	AB
1958	23	A	B	1	1	AB
1959	23	A	B	1	1	AB
1960	23	A	B	2	1	AB
1961	23	A	B	2	1	AB
1962	23	A	B	8	1	AB
1963	23	A	B	9	1	AB
1964	23	A	B	9	1	AB
1965	23	A	B	9	1	AB
1966	23	A	B	10	1	AB
1967	23	A	B	10	1	AB
1968	23	A	B	10	1	AB
1969	23	A	B	11	1	AB
1970	23	A	B	11	1	AB
1971	23	A	B	14	1	AB
1972	23	A	B	14	1	AB
1973	23	L2	B	1	1	L2B
1974	23	L2	B	1	1	L2B
1975	23	L2	B	1	1	L2B
1976	23	L2	B	1	1	L2B
1977	23	L2	B	1	1	L2B
1978	23	L2	B	1	1	L2B
1979	23	L2	B	2	1	L2B
1980	23	L2	B	2	1	L2B
1981	23	L2	B	2	1	L2B
1982	23	L2	B	3	1	L2B
1983	23	L2	B	6	1	L2B
1984	23	L2	B	8	1	L2B
1985	23	L2	B	9	1	L2B
1986	23	L2	B	9	1	L2B
1987	23	L2	B	10	1	L2B
1988	23	L2	B	14	1	L2B
1989	23	L3	B	1	1	L3B
1990	23	L3	B	1	1	L3B
1991	23	L3	B	1	1	L3B
1992	23	L3	B	1	1	L3B
1993	23	L3	B	1	1	L3B
1994	23	L3	B	1	1	L3B
1995	23	L3	B	1	1	L3B
1996	23	L3	B	3	1	L3B
1997	23	L3	B	4	1	L3B
1998	23	L3	B	9	1	L3B
1999	23	L3	B	10	1	L3B
2000	23	L3	B	12	1	L3B
2001	23	L3	B	12	1	L3B
2002	23	L3	B	13	1	L3B
2003	23	L3	B	13	1	L3B
2004	23	L3	B	14	1	L3B
2005	23	L6	B	1	1	L6B
2006	23	L6	B	1	1	L6B
2007	23	L6	B	1	1	L6B
2008	23	L6	B	1	1	L6B
2009	23	L6	B	1	1	L6B
2010	23	L6	B	1	1	L6B
2011	23	L6	B	2	1	L6B
2012	23	L6	B	2	1	L6B
2013	23	L6	B	3	1	L6B
2014	23	L6	B	4	1	L6B
2015	23	L6	B	10	1	L6B
2016	23	L6	B	12	1	L6B
2017	23	L6	B	14	0	L6B
2018	23	L6	B	14	0	L6B
2019	23	L6	B	14	0	L6B
2020	23	L6	B	14	0	L6B
2021	23	P	B	1	1	PB
2022	23	P	B	1	1	PB
2023	23	P	B	1	1	PB
2024	23	P	B	1	1	PB
2025	23	P	B	1	1	PB
2026	23	P	B	2	1	PB
2027	23	P	B	3	1	PB
2028	23	P	B	4	1	PB
2029	23	P	B	10	1	PB
2030	23	P	B	10	1	PB
2031	23	P	B	11	1	PB
2032	23	P	B	13	1	PB
2033	23	P	B	14	0	PB
2034	23	P	B	14	0	PB
2035	23	P	B	14	0	PB
2036	23	P	B	14	0	PB
2037	24	K	P	2	1	KP
2038	24	K	P	14	0	KP
2039	24	K	P	14	0	KP
2040	24	K	P	14	0	KP
2041	24	K	P	14	0	KP
2042	24	K	P	14	0	KP
2043	24	K	P	14	0	KP
2044	24	K	P	14	0	KP
2045	24	K	P	14	0	KP
2046	24	K	P	14	0	KP
2047	24	K	P	14	0	KP
2048	24	K	P	14	0	KP
2049	24	K	P	14	0	KP
2050	24	K	P	14	0	KP
2051	24	A	P	2	1	AP
2052	24	A	P	11	1	AP
2053	24	A	P	14	0	AP
2054	24	A	P	14	0	AP
2055	24	A	P	14	0	AP
2056	24	A	P	14	0	AP
2057	24	A	P	14	0	AP
2058	24	A	P	14	0	AP
2059	24	A	P	14	0	AP
2060	24	A	P	14	0	AP
2061	24	A	P	14	0	AP
2062	24	A	P	14	0	AP
2063	24	A	P	14	0	AP
2064	24	A	P	14	0	AP
2065	24	A	P	14	0	AP
2066	24	L2	P	9	1	L2P
2067	24	L2	P	14	0	L2P
2068	24	L2	P	14	0	L2P
2069	24	L2	P	14	0	L2P
2070	24	L2	P	14	0	L2P
2071	24	L2	P	14	0	L2P
2072	24	L2	P	14	0	L2P
2073	24	L2	P	14	0	L2P
2074	24	L2	P	14	0	L2P
2075	24	L2	P	14	0	L2P
2076	24	L2	P	14	0	L2P
2077	24	L2	P	14	0	L2P
2078	24	L2	P	14	0	L2P
2079	24	L2	P	14	0	L2P
2080	24	L2	P	14	0	L2P
2081	24	L2	P	14	0	L2P
2082	24	L3	P	14	0	L3P
2083	24	L3	P	14	0	L3P
2084	24	L3	P	14	0	L3P
2085	24	L3	P	14	0	L3P
2086	24	L3	P	14	0	L3P
2087	24	L3	P	14	0	L3P
2088	24	L3	P	14	0	L3P
2089	24	L3	P	14	0	L3P
2090	24	L3	P	14	0	L3P
2091	24	L3	P	14	0	L3P
2092	24	L3	P	14	0	L3P
2093	24	L3	P	14	0	L3P
2094	24	L3	P	14	0	L3P
2095	24	L3	P	14	0	L3P
2096	24	L3	P	14	0	L3P
2097	24	L3	P	14	0	L3P
2098	24	L6	P	14	0	L6P
2099	24	L6	P	14	0	L6P
2100	24	L6	P	14	0	L6P
2101	24	L6	P	14	0	L6P
2102	24	L6	P	14	0	L6P
2103	24	L6	P	14	0	L6P
2104	24	L6	P	14	0	L6P
2105	24	L6	P	14	0	L6P
2106	24	L6	P	14	0	L6P
2107	24	L6	P	14	0	L6P
2108	24	L6	P	14	0	L6P
2109	24	L6	P	14	0	L6P
2110	24	L6	P	14	0	L6P
2111	24	L6	P	14	0	L6P
2112	24	L6	P	14	0	L6P
2113	24	L6	P	14	0	L6P
2114	24	P	P	1	1	PP
2115	24	P	P	3	1	PP
2116	24	P	P	5	1	PP
2117	24	P	P	14	0	PP
2118	24	P	P	14	0	PP
2119	24	P	P	14	0	PP
2120	24	P	P	14	0	PP
2121	24	P	P	14	0	PP
2122	24	P	P	14	0	PP
2123	24	P	P	14	0	PP
2124	24	P	P	14	0	PP
2125	24	P	P	14	0	PP
2126	24	P	P	14	0	PP
2127	24	P	P	14	0	PP
2128	24	P	P	14	0	PP
